CASE#,DATE  OF OCCURRENCE,BLOCK, IUCR, PRIMARY DESCRIPTION, SECONDARY DESCRIPTION, LOCATION DESCRIPTION,ARREST,DOMESTIC,BEAT,WARD,FBI CD,X COORDINATE,Y COORDINATE,LATITUDE,LONGITUDE,LOCATION
HX322462,06/28/2014 12:40:00 PM2014.06.28 at 12:40,042XX W 55TH ST,0486,BATTERY,DOMESTIC BATTERY SIMPLE,RESIDENCE,N,Y,813,13,08B,1148689,1867747,41.79303,-87.730316
HX322479,06/28/2014 01:15:00 PM2014.06.28 at 13:15,027XX W CORTEZ ST,0520,ASSAULT,AGGRAVATED:KNIFE/CUTTING INSTR,RESIDENCE,N,Y,1211,1,04A,1157825,1906830,41.900097,-87.69575
HX322488,06/28/2014 01:10:00 PM2014.06.28 at 13:10,004XX S CENTRAL AVE,0486,BATTERY,DOMESTIC BATTERY SIMPLE,APARTMENT,N,Y,1522,29,08B,1139176,1897160,41.87392,-87.76448
HX322510,06/28/2014 10:00:00 AM2014.06.28 at 10:00,054XX W RACE AVE,1310,CRIMINAL DAMAGE,TO PROPERTY,RESIDENCE,N,Y,1523,37,14,1139735,1903060,41.890102,-87.76228
HX322524,06/28/2014 10:00:00 AM2014.06.28 at 10:00,052XX W AGATITE AVE,1780,OFFENSE INVOLVING CHILDREN,OTHER OFFENSE,RESIDENCE,N,Y,1623,45,26,1140709,1929047,41.961395,-87.75807
HX322544,06/28/2014 01:00:00 PM2014.06.28 at 13:00,006XX W 87TH ST,0486,BATTERY,DOMESTIC BATTERY SIMPLE,STREET,N,Y,2223,21,08B,1173218,1847067,41.735775,-87.640976
HX322573,06/28/2014 01:45:00 PM2014.06.28 at 13:45,048XX W ADAMS ST,0486,BATTERY,DOMESTIC BATTERY SIMPLE,RESIDENCE,N,Y,1533,28,08B,1143995,1898930,41.87869,-87.74674
HX322580,06/28/2014 02:45:00 PM2014.06.28 at 14:45,075XX S KINGSTON AVE,0486,BATTERY,DOMESTIC BATTERY SIMPLE,APARTMENT,N,Y,421,7,08B,1194468,1855274,41.757797,-87.56286
HX322596,06/28/2014 02:30:00 PM2014.06.28 at 14:30,040XX W GRENSHAW ST,0486,BATTERY,DOMESTIC BATTERY SIMPLE,STREET,N,Y,1132,24,08B,1149821,1894780,41.867188,-87.725464
HX322611,06/28/2014 02:50:00 PM2014.06.28 at 14:50,014XX W MONROE ST,0560,ASSAULT,SIMPLE,STREET,N,Y,1224,2,08A,1167014,1899706,41.880356,-87.6622
HX322667,06/28/2014 03:25:00 PM2014.06.28 at 15:25,075XX W BELMONT AVE,0486,BATTERY,DOMESTIC BATTERY SIMPLE,APARTMENT,N,Y,2511,36,08B,1124919,1920362,41.937836,-87.816315
HX322681,06/28/2014 02:50:00 PM2014.06.28 at 14:50,121XX S ADA ST,0560,ASSAULT,SIMPLE,SIDEWALK,N,Y,524,34,08A,1169498,1823921,41.672337,-87.65527
HX322689,06/28/2014 03:40:00 PM2014.06.28 at 15:40,017XX N MOHAWK ST,0486,BATTERY,DOMESTIC BATTERY SIMPLE,RESIDENCE,N,Y,1813,43,08B,1172373,1911868,41.913612,-87.642166
HX322699,06/28/2014 03:46:00 PM2014.06.28 at 15:46,036XX N NOTTINGHAM AVE,2820,OTHER OFFENSE,TELEPHONE THREAT,RESIDENCE,N,Y,1632,36,26,1128050,1923553,41.94654,-87.80473
HX322700,06/28/2014 02:00:00 PM2014.06.28 at 14:00,016XX W NORTH SHORE AVE,0486,BATTERY,DOMESTIC BATTERY SIMPLE,RESIDENCE,N,Y,2432,49,08B,1164112,1944612,42.003643,-87.671585
HX322702,06/28/2014 02:05:00 PM2014.06.28 at 14:05,048XX W CONGRESS PKWY,0486,BATTERY,DOMESTIC BATTERY SIMPLE,RESIDENCE,N,Y,1533,24,08B,1144234,1897284,41.87417,-87.74591
HX322716,06/28/2014 02:00:00 PM2014.06.28 at 14:00,044XX W DIVERSEY AVE,1780,OFFENSE INVOLVING CHILDREN,OTHER OFFENSE,APARTMENT,N,Y,2523,31,26,1145954,1918277,41.931744,-87.73906
HX322755,06/28/2014 04:50:00 PM2014.06.28 at 16:50,006XX W OAKDALE AVE,2825,OTHER OFFENSE,HARASSMENT BY TELEPHONE,RESIDENCE,N,Y,1934,44,26,1171467,1919902,41.935677,-87.645256
HX322759,06/28/2014 05:00:00 PM2014.06.28 at 17:00,036XX W OAKDALE AVE,0486,BATTERY,DOMESTIC BATTERY SIMPLE,STREET,N,Y,2523,30,08B,1151578,1919331,41.934525,-87.71836
HX322777,06/28/2014 05:00:00 PM2014.06.28 at 17:00,029XX W 81ST ST,0486,BATTERY,DOMESTIC BATTERY SIMPLE,RESIDENCE,N,Y,835,18,08B,1158310,1850734,41.74615,-87.695496
HX322785,06/28/2014 04:30:00 PM2014.06.28 at 16:30,024XX S PULASKI RD,0560,ASSAULT,SIMPLE,APARTMENT,N,Y,1013,22,08A,1150139,1887372,41.846855,-87.72449
HX322810,06/28/2014 05:00:00 PM2014.06.28 at 17:00,031XX W 59TH ST,4255,KIDNAPPING,UNLAWFUL INTERFERE/VISITATION,APARTMENT,N,Y,824,14,26,1156338,1865376,41.786373,-87.70233
HX322829,06/28/2014 05:25:00 PM2014.06.28 at 17:25,006XX N CICERO AVE,0554,ASSAULT,AGG PO HANDS NO/MIN INJURY,APARTMENT,Y,Y,1111,28,08A,1144279,1903955,41.89247,-87.745575
HX322878,06/28/2014 06:05:00 PM2014.06.28 at 18:05,018XX S CENTRAL PARK AVE,0650,BURGLARY,HOME INVASION,APARTMENT,N,Y,1014,24,05,1152617,1891046,41.856888,-87.715294
HX322888,06/28/2014 06:45:00 PM2014.06.28 at 18:45,038XX W HARRISON ST,0486,BATTERY,DOMESTIC BATTERY SIMPLE,STREET,N,Y,1133,24,08B,1151173,1897054,41.8734,-87.720436
HX322921,06/28/2014 05:30:00 PM2014.06.28 at 17:30,017XX W HIGHLAND AVE,0486,BATTERY,DOMESTIC BATTERY SIMPLE,APARTMENT,N,Y,2433,40,08B,1163271,1942068,41.996677,-87.67475
HX322936,06/28/2014 07:33:00 PM2014.06.28 at 19:33,051XX S TALMAN AVE,0486,BATTERY,DOMESTIC BATTERY SIMPLE,APARTMENT,Y,Y,923,14,08B,1159622,1870225,41.79961,-87.690155
HX322942,06/28/2014 04:00:00 PM2014.06.28 at 16:00,034XX W MADISON ST,2820,OTHER OFFENSE,TELEPHONE THREAT,RESTAURANT,N,Y,1123,28,26,1153593,1899768,41.880802,-87.71148
HX322970,06/28/2014 08:02:00 PM2014.06.28 at 20:02,025XX N LONG AVE,4387,OTHER OFFENSE,VIOLATE ORDER OF PROTECTION,STREET,Y,Y,2515,30,26,1139921,1916131,41.925964,-87.761284
HX322977,06/28/2014 07:33:00 PM2014.06.28 at 19:33,055XX S HOYNE AVE,0460,BATTERY,SIMPLE,RESIDENCE,N,Y,715,15,08B,1163275,1867575,41.792263,-87.676834
